"group","value"
"gasf",4.5
"gasf",6
"gasf",6.5
"gasf",6.5
"gasf",5.5
"gasf",5.5
"gasf",7
"gasf",7.5
"gasf",7
"gasf",6
"gasf",5.5
"gasf",6
"gasf",6
"gasf",6
"gasf",6
"gasf",7.5
"gasf",5.5
"gasf",7
"gasf",6
"gasf",5.5
"gadf",6
"gadf",6
"gadf",4.5
"gadf",5.5
"gadf",6
"gadf",9
"gadf",6.5
"gadf",3.5
"gadf",6
"gadf",6.5
"gadf",4.5
"gadf",6
"gadf",5.5
"gadf",5.5
"gadf",6
"gadf",5
"gadf",6
"gadf",5
"gadf",6
"gadf",5.5
"mtf",5
"mtf",6.5
"mtf",6.5
"mtf",6.5
"mtf",6
"mtf",6.5
"mtf",6
"mtf",5.5
"mtf",6.5
"mtf",6
"mtf",5.5
"mtf",6.5
"mtf",5.5
"mtf",6
"mtf",6
"mtf",6
"mtf",6
"mtf",7
"mtf",5.5
"mtf",7
