"group","value"
"RGB_simpleCNN",4.5
"RGB_simpleCNN",6
"RGB_simpleCNN",6.5
"RGB_simpleCNN",6.5
"RGB_simpleCNN",5.5
"RGB_simpleCNN",5.5
"RGB_simpleCNN",7
"RGB_simpleCNN",7.5
"RGB_simpleCNN",7
"RGB_simpleCNN",6
"RGB_simpleCNN",5.5
"RGB_simpleCNN",6
"RGB_simpleCNN",6
"RGB_simpleCNN",6
"RGB_simpleCNN",6
"RGB_simpleCNN",7.5
"RGB_simpleCNN",5.5
"RGB_simpleCNN",7
"RGB_simpleCNN",6
"RGB_simpleCNN",5.5
"RGB_simpleCNN",6
"RGB_simpleCNN",6
"RGB_simpleCNN",4.5
"RGB_simpleCNN",5.5
"RGB_simpleCNN",6
"RGB_simpleCNN",9
"RGB_simpleCNN",6.5
"RGB_simpleCNN",3.5
"RGB_simpleCNN",6
"RGB_simpleCNN",6.5
"RGB_simpleCNN",4.5
"RGB_simpleCNN",6
"RGB_simpleCNN",5.5
"RGB_simpleCNN",5.5
"RGB_simpleCNN",6
"RGB_simpleCNN",5
"RGB_simpleCNN",6
"RGB_simpleCNN",5
"RGB_simpleCNN",6
"RGB_simpleCNN",5.5
"RGB_simpleCNN",5
"RGB_simpleCNN",6.5
"RGB_simpleCNN",6.5
"RGB_simpleCNN",6.5
"RGB_simpleCNN",6
"RGB_simpleCNN",6.5
"RGB_simpleCNN",6
"RGB_simpleCNN",5.5
"RGB_simpleCNN",6.5
"RGB_simpleCNN",6
"RGB_simpleCNN",5.5
"RGB_simpleCNN",6.5
"RGB_simpleCNN",5.5
"RGB_simpleCNN",6
"RGB_simpleCNN",6
"RGB_simpleCNN",6
"RGB_simpleCNN",6
"RGB_simpleCNN",7
"RGB_simpleCNN",5.5
"RGB_simpleCNN",7
"RGB_VGG16",6.5
"RGB_VGG16",5.5
"RGB_VGG16",6
"RGB_VGG16",7.5
"RGB_VGG16",5
"RGB_VGG16",5.5
"RGB_VGG16",5
"RGB_VGG16",4.5
"RGB_VGG16",5
"RGB_VGG16",7.5
"RGB_VGG16",5.5
"RGB_VGG16",6.5
"RGB_VGG16",8
"RGB_VGG16",6.5
"RGB_VGG16",5.5
"RGB_VGG16",6.5
"RGB_VGG16",6.5
"RGB_VGG16",7
"RGB_VGG16",6
"RGB_VGG16",7
"RGB_VGG16",6.5
"RGB_VGG16",5.5
"RGB_VGG16",5.5
"RGB_VGG16",5
"RGB_VGG16",5
"RGB_VGG16",5.5
"RGB_VGG16",6.5
"RGB_VGG16",5.5
"RGB_VGG16",4.5
"RGB_VGG16",6
"RGB_VGG16",5
"RGB_VGG16",4.5
"RGB_VGG16",6
"RGB_VGG16",4.5
"RGB_VGG16",5.5
"RGB_VGG16",4.5
"RGB_VGG16",5.5
"RGB_VGG16",4.5
"RGB_VGG16",5.5
"RGB_VGG16",6
"RGB_VGG16",6
"RGB_VGG16",6
"RGB_VGG16",6
"RGB_VGG16",7.5
"RGB_VGG16",8.5
"RGB_VGG16",7
"RGB_VGG16",7
"RGB_VGG16",7
"RGB_VGG16",6.5
"RGB_VGG16",7
"RGB_VGG16",4.5
"RGB_VGG16",6
"RGB_VGG16",5.5
"RGB_VGG16",7.5
"RGB_VGG16",6.5
"RGB_VGG16",7.5
"RGB_VGG16",5.5
"RGB_VGG16",7
"RGB_VGG16",5
"RGB_VGG16",6
