"group","value"
"Grayscale",10
"Grayscale",8
"Grayscale",7.5
"Grayscale",8.5
"Grayscale",8
"Grayscale",9
"Grayscale",9.5
"Grayscale",8
"Grayscale",7
"Grayscale",9
"Grayscale",10
"Grayscale",10
"Grayscale",9
"Grayscale",8
"Grayscale",9.5
"Grayscale",7.5
"Grayscale",7.5
"Grayscale",8.5
"Grayscale",8
"Grayscale",7
"Grayscale",5.5
"Grayscale",5.5
"Grayscale",6
"Grayscale",6
"Grayscale",5.5
"Grayscale",7.5
"Grayscale",5
"Grayscale",5.5
"Grayscale",5.5
"Grayscale",7.5
"Grayscale",5.5
"Grayscale",5.5
"Grayscale",6
"Grayscale",5.5
"Grayscale",6
"Grayscale",6
"Grayscale",6
"Grayscale",5.5
"Grayscale",8
"Grayscale",4.5
"Grayscale",7.5
"Grayscale",8
"Grayscale",7.5
"Grayscale",8
"Grayscale",8.5
"Grayscale",7.5
"Grayscale",9
"Grayscale",8.5
"Grayscale",8
"Grayscale",7.5
"Grayscale",9
"Grayscale",10
"Grayscale",8.5
"Grayscale",8.5
"Grayscale",7
"Grayscale",8
"Grayscale",9
"Grayscale",8.5
"Grayscale",8.5
"Grayscale",8
"RGB",4.5
"RGB",6
"RGB",6.5
"RGB",6.5
"RGB",5.5
"RGB",5.5
"RGB",7
"RGB",7.5
"RGB",7
"RGB",6
"RGB",5.5
"RGB",6
"RGB",6
"RGB",6
"RGB",6
"RGB",7.5
"RGB",5.5
"RGB",7
"RGB",6
"RGB",5.5
"RGB",6
"RGB",6
"RGB",4.5
"RGB",5.5
"RGB",6
"RGB",9
"RGB",6.5
"RGB",3.5
"RGB",6
"RGB",6.5
"RGB",4.5
"RGB",6
"RGB",5.5
"RGB",5.5
"RGB",6
"RGB",5
"RGB",6
"RGB",5
"RGB",6
"RGB",5.5
"RGB",5
"RGB",6.5
"RGB",6.5
"RGB",6.5
"RGB",6
"RGB",6.5
"RGB",6
"RGB",5.5
"RGB",6.5
"RGB",6
"RGB",5.5
"RGB",6.5
"RGB",5.5
"RGB",6
"RGB",6
"RGB",6
"RGB",6
"RGB",7
"RGB",5.5
"RGB",7
